second,Q1 Count,Q2 Count,Q3 Count,Q4 Count
1292,39,50,15,37
1293,44,44,17,36
1294,46,41,18,39
1295,40,35,17,30
1296,40,42,20,28
1297,44,30,17,35
1298,43,36,14,28
1299,37,33,16,31
1300,43,39,18,33
1301,37,39,16,29
1302,42,51,16,30
1303,48,37,17,32
1304,46,38,14,30
1305,45,36,20,32
1306,44,43,20,28
1307,51,40,18,32
1308,46,45,16,28
1309,50,43,16,37
1310,40,41,15,32
1311,44,40,13,29
1312,46,49,14,27
1313,50,36,14,31
1314,53,43,12,35
1315,36,38,16,40
1316,44,37,14,37
1317,40,45,13,37
1318,39,45,16,33
1319,32,45,15,35
1320,42,47,13,34
1321,43,50,11,39
1322,45,51,11,30
1323,37,42,15,30
1324,37,47,15,34
1325,37,37,14,43
1326,36,45,15,37
1327,32,47,17,36
1328,34,46,14,40
1329,28,47,21,44
1330,34,46,21,38
1331,45,41,21,37
1332,40,48,14,37
1333,52,49,18,32
1334,41,45,21,29
1335,44,36,22,23
1336,38,38,21,35
1337,39,43,23,29
1338,32,41,20,30
1339,41,41,19,28
1340,52,38,18,28
1341,54,35,17,33
1342,44,44,17,31
1343,41,44,21,25
